patch, A01 (DCO-1 Range), A02 (DCO-1 Waveform), A03 (DCO-1 LFO Mod), A04 (DCO-1 ENV Mod), A05 (DCO-2 Range), A06 (DCO-2 Waveform), A07 (DCO-2 Cross Modulation), A08 (DCO-2 Tune), A09 (DCO-2 Fine Tune), A10 (DCO-2 LFO Mod), A11 (DCO-2 ENV Mod), A12 (DCO LFO Mod), A13 (DCO ENV Mod), A14 (DCO ENV polarity), A15 (VCF Mix), A16 (VCF High Pass), B01 (VCF Cutoff Frequency), B02 (VCF LFO Mod), B03 (VCF Pitch Follow), B04 (VCF Resonance), B05 (VCF ENV Mod), B06 (VCF ENV polarity), B07 (VCA Mode), B08 (VCA Level), B09 (Chorus off/on), B10 (LFO Waveform), B11 (LFO Delay), B12 (LFO Rate), B13 (ENV Attack), B14 (ENV Decay), B15 (ENV Sustain), B16 (ENV Release)
C01, 16', pulse, 1, 0, 16', square, sync, 129, 99, 1, 1, 0, 174, neg, 254, 0, 146, 0, 172, 0, 160, pos, gate, 45, on, sine, 0, 202, 0, 155, 121, 0
C02, 16', saw, 1, 0, 8', pulse, off, 0, 235, 0, 1, 29, 0, pos, 125, 0, 131, 0, 196, 149, 254, pos, env, 254, on, sine, 0, 185, 0, 103, 79, 106
C03, 16', saw, 1, 1, 16', saw, off, 126, 254, 1, 1, 18, 254, neg, 134, 71, 254, 0, 0, 97, 0, pos, gate, 118, on, sine, 17, 172, 0, 46, 0, 0
C04, 16', saw, 1, 0, 8', saw, off, 127, 177, 1, 0, 44, 89, pos, 71, 17, 162, 0, 195, 67, 22, pos, env, 76, on, sine, 99, 254, 11, 73, 215, 146
C05, 16', saw, 1, 0, 16', saw, off, 0, 158, 1, 0, 16, 89, pos, 121, 111, 16, 0, 171, 137, 254, neg, gate, 115, on, sine, 21, 254, 0, 193, 0, 199
C06, 16', saw, 1, 0, 8', saw, off, 126, 101, 1, 0, 31, 0, neg, 134, 22, 115, 0, 78, 88, 128, pos, gate, 196, off, sine, 17, 210, 184, 130, 0, 3
C07, 16', saw, 1, 0, 16', saw, off, 128, 116, 1, 0, 32, 0, neg, 134, 0, 254, 0, 196, 0, 0, pos, env, 85, on, sine, 0, 133, 0, 102, 0, 159
C08, 16', saw, 0, 0, 8', square, sync, 191, 120, 0, 1, 98, 162, pos, 254, 0, 198, 0, 124, 0, 0, neg, gate, 69, on, sine, 35, 174, 176, 0, 254, 0
C09, 16', saw, 1, 1, 16', saw, off, 128, 107, 1, 0, 22, 0, neg, 108, 0, 79, 0, 206, 57, 252, pos, env, 132, on, sine, 0, 127, 154, 95, 145, 176
C10, 16', saw, 0, 1, 16', saw, off, 0, 142, 1, 1, 28, 0, neg, 175, 0, 29, 0, 70, 124, 254, pos, gate, 254, on, sine, 0, 93, 0, 0, 100, 120
C11, 16', saw, 1, 1, 4', square, off, 0, 0, 1, 0, 22, 0, neg, 54, 63, 47, 0, 141, 61, 106, pos, gate, 198, on, sine, 0, 0, 0, 31, 0, 59
C12, 16', saw, 1, 0, 8', saw, off, 127, 177, 1, 0, 44, 89, pos, 71, 17, 162, 0, 195, 67, 22, pos, env, 147, on, sine, 99, 254, 11, 73, 215, 146
C13, 16', saw, 0, 0, 16', saw, off, 129, 95, 0, 0, 119, 10, pos, 112, 0, 14, 0, 105, 124, 148, pos, env, 143, on, sine, 44, 176, 41, 66, 133, 0
C14, 8', saw, 0, 0, 8', square, sync, 73, 100, 0, 1, 0, 131, pos, 252, 149, 0, 63, 87, 127, 116, pos, env, 253, off, sine, 0, 29, 0, 192, 135, 31
C15, 16', saw, 0, 0, 8', pulse, off, 127, 170, 0, 0, 44, 0, pos, 126, 0, 179, 0, 103, 0, 0, pos, env, 76, on, sine, 0, 161, 56, 147, 254, 76
C16, 16', square, 0, 0, 8', saw, sync, 125, 115, 1, 0, 254, 254, pos, 254, 0, 254, 0, 0, 0, 0, pos, env, 168, off, square, 0, 144, 0, 60, 49, 83
D01, 16', saw, 1, 0, 8', saw, off, 127, 177, 1, 0, 44, 89, pos, 71, 17, 162, 0, 195, 67, 22, pos, env, 136, on, sine, 99, 254, 11, 73, 215, 146
D02, 16', saw, 1, 0, 8', pulse, off, 0, 235, 0, 1, 29, 0, pos, 125, 1, 60, 0, 196, 149, 254, pos, env, 217, on, sine, 0, 185, 0, 103, 79, 143
D03, 16', saw, 1, 0, 8', saw, off, 126, 101, 1, 0, 31, 0, neg, 134, 22, 115, 0, 78, 88, 128, pos, gate, 155, off, sine, 17, 210, 184, 130, 0, 3
D04, 16', saw, 1, 0, 16', saw, off, 128, 116, 1, 0, 32, 0, neg, 134, 207, 254, 0, 196, 0, 0, pos, env, 98, on, sine, 0, 133, 0, 102, 0, 159
D05, 16', saw, 1, 0, 8', saw, off, 204, 121, 0, 0, 17, 175, pos, 114, 0, 0, 48, 148, 0, 150, pos, env, 115, on, sine, 0, 28, 128, 254, 182, 233
D06, 16', saw, 1, 1, 16', saw, off, 126, 254, 1, 1, 18, 254, neg, 134, 71, 254, 0, 0, 97, 0, pos, gate, 102, on, sine, 17, 172, 0, 46, 0, 0
D07, 16', saw, 0, 0, 16', saw, off, 0, 158, 0, 0, 83, 89, pos, 121, 0, 87, 0, 171, 0, 254, neg, env, 106, on, sine, 21, 200, 0, 254, 198, 199
D08, 16', saw, 1, 0, 16', saw, off, 0, 158, 1, 0, 16, 89, pos, 121, 111, 16, 0, 171, 137, 254, neg, gate, 106, on, sine, 21, 254, 0, 193, 0, 199
D09, 16', saw, 0, 0, 8', square, sync, 191, 120, 0, 1, 98, 162, pos, 254, 0, 198, 0, 124, 0, 0, neg, gate, 70, on, sine, 35, 174, 176, 0, 254, 0
D10, 16', saw, 0, 0, 16', saw, off, 203, 115, 0, 0, 91, 0, pos, 159, 0, 0, 0, 124, 215, 253, pos, gate, 64, on, sine, 34, 170, 0, 24, 92, 0
D11, 16', saw, 0, 0, 16', saw, off, 126, 103, 1, 0, 17, 0, neg, 134, 113, 75, 0, 78, 174, 111, pos, env, 236, on, square, 17, 184, 36, 19, 193, 211
D12, 16', saw, 1, 0, 8', saw, off, 129, 120, 0, 0, 17, 175, pos, 114, 0, 38, 63, 148, 0, 150, pos, env, 202, on, sine, 0, 28, 128, 254, 182, 233
D13, 16', saw, 1, 1, 16', saw, off, 126, 254, 1, 1, 18, 254, neg, 134, 71, 254, 0, 0, 97, 0, pos, gate, 102, on, sine, 17, 172, 0, 46, 0, 0
D14, 16', saw, 1, 0, 8', saw, off, 126, 101, 1, 0, 31, 0, neg, 134, 18, 115, 0, 78, 88, 128, pos, gate, 151, off, sine, 17, 210, 184, 130, 0, 3
D15, 16', saw, 1, 0, 8', saw, off, 126, 101, 1, 0, 31, 0, neg, 134, 18, 115, 0, 78, 88, 128, pos, gate, 45, on, sine, 17, 210, 184, 130, 0, 177
D16, 16', saw, 1, 0, 8', saw, off, 127, 177, 1, 0, 44, 254, pos, 71, 17, 103, 0, 195, 252, 33, pos, env, 204, on, sine, 99, 254, 0, 0, 215, 191
